# h/L (L = 20 nm)	F/A (kT / L^2)
# betaDeltaG0strong = -40
0.05	10.6117
0.1	8.24644
0.15	6.82575
0.2	5.8004
0.25	4.99509
0.3	4.3307
0.35	3.76456
0.4	3.27094
0.45	2.83315
0.5	2.43967
0.55	2.08226
0.6	1.75478
0.65	1.45256
0.7	1.17194
0.75	0.910009
0.8	0.664413
0.85	0.433217
0.9	0.214811
0.95	0.00784538
1	-0.188828
1.05	-0.180768
1.1	-0.172594
1.15	-0.164301
1.2	-0.155887
1.25	-0.147345
1.3	-0.138673
1.35	-0.129864
1.4	-0.120914
1.45	-0.111817
1.5	-0.102567
1.55	-0.0931583
1.6	-0.0835833
1.65	-0.0738349
1.7	-0.0639054
1.75	-0.0537863
1.8	-0.0434686
1.85	-0.0329423
1.9	-0.0221967
1.95	-0.0112202
2	0


# betaDeltaG0strong = -6
0.05	11.172
0.1	8.68883
0.15	7.1979
0.2	6.1239
0.25	5.28225
0.3	4.58942
0.35	4.00027
